Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration,
N/A,IGP_II_20170417,Specimen,Sample(61),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,4166.666667,
N/A,IGP_II_20170417,Specimen,Sample(61),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,893.125,
N/A,IGP_II_20170417,Specimen,Sample(62),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,4761.904762,
N/A,IGP_II_20170417,Specimen,Sample(62),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"15,825",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,753.571429,
N/A,IGP_II_20170417,Specimen,Sample(62),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,4761.904762,
N/A,IGP_II_20170417,Specimen,Sample(62),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,595.809524,
N/A,IGP_II_20170417,Specimen,Sample(63),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,4347.826087,
N/A,IGP_II_20170417,Specimen,Sample(63),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"22,945",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,997.608696,
N/A,IGP_II_20170417,Specimen,Sample(63),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,4347.826087,
N/A,IGP_II_20170417,Specimen,Sample(63),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,820.565217,
N/A,IGP_II_20170417,Specimen,Sample(64),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2941.176471,
N/A,IGP_II_20170417,Specimen,Sample(64),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"32,238",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,948.176471,
N/A,IGP_II_20170417,Specimen,Sample(64),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2941.176471,
N/A,IGP_II_20170417,Specimen,Sample(64),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,691.176471,
N/A,IGP_II_20170417,Specimen,Sample(65),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2777.777778,
N/A,IGP_II_20170417,Specimen,Sample(65),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"32,945",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,915.138889,
N/A,IGP_II_20170417,Specimen,Sample(65),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2777.777778,
N/A,IGP_II_20170417,Specimen,Sample(65),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,673.527778,
N/A,IGP_II_20170417,Specimen,Sample(66),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1886.792453,
N/A,IGP_II_20170417,Specimen,Sample(66),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"32,736",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,617.660377,
N/A,IGP_II_20170417,Specimen,Sample(66),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1886.792453,
N/A,IGP_II_20170417,Specimen,Sample(66),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,518.924528,
N/A,IGP_II_20170417,Specimen,Sample(67),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1612.903226,
N/A,IGP_II_20170417,Specimen,Sample(67),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"36,615",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,590.564516,
N/A,IGP_II_20170417,Specimen,Sample(67),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1612.903226,
N/A,IGP_II_20170417,Specimen,Sample(67),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,490.983871,
